1ci-smcs	['3091']
isode-dua	['17007']
isoft-p2p	['3501']
isoipsigport-1	['1106']
isoipsigport-2	['1107']
isomair	['3589']
ispipes	['2853']
ispmmgr	['3775']
isrp-port	['3788']
iss-mgmt-ssl	['3995']
issd	['1600']
isysg-lm	['1609']
ita-agent	['5051']
ita-manager	['5052']
itach	['8184']
itactionserver1	['7280']
itactionserver2	['7281']
italk	['12345']
itap-ddtp	['10100']
itelserverport	['3719']
item	['3848']
itinternet	['2691']
itm-lm	['2828']
itm-mccs	['3084']
itm-mcell-s	['828']
itm-mcell-u	['1828']
ito-e-gui	['2531']
itose	['4348']
itscomm-ns	['1573']
itu-bicc-stc	['3097']
itv-control	['3899']
itwo-server	['4410']
iua	['9900']
iuhsctpassoc	['29169']
ivcollector	['1275']
ivecon-port	['3258']
ivocalize	['5049']
ivs-database	['38000']
ivs-insertion	['38001']
ivs-video	['2232']
ivsd	['2241']
iw-mmogame	['3596']
iwb-whiteboard	['2982']
iwec	['4801']
iwg1	['7071']
iwlistener	['2866']
iwserver	['2166']
izm	['4109']
j-ac	['4107']
j-lan-p	['2808']
j-link	['19020']
jacobus-lm	['1578']
jaleosnd	['1623']
jamlink	['8091']
jamserverport	['3627']
janus-disc	['7181']
jargon	['148']
jaugsremotec-1	['3472']
jaugsremotec-2	['3473']
jaus	['3794']
jaxer-manager	['4328']
jaxer-web	['4327']
jaxflow	['5229']
jaxflow-data	['5230']
jboss-iiop	['3528']
jboss-iiop-ssl	['3529']
jbroker	['2506']
jcp	['19541']
jdatastore	['2508']
jdl-dbkitchen	['3086']
jdmn-port	['4030']
jdp-disc	['7095']
jediserver	['2406']
jeol-nsddp-1	['6241']
jeol-nsddp-2	['6242']
jeol-nsddp-3	['6243']
jeol-nsddp-4	['6244']
jerand-lm	['1810']
jesmsjc	['27442']
jetcmeserver	['1936']
jetform	['1706']
jetformpreview	['2097']
jetstream	['6901']
jibe-eb	['3777']
jini-discovery	['4160']
jlicelmd	['1567']
jmact3	['6961']
jmact5	['2957']
jmact6	['2958']
jmb-cds1	['8900']
jmb-cds2	['8901']
jmevt2	['6962']
jmq-daemon-1	['3214']
jmq-daemon-2	['3215']
jms	['5673']
joaJewelSuite	['6583']
joltid	['3531']
jomamqmonitor	['4114']
joost	['4166']
journee	['3042']
jpegmpeg	['3155']
jprinter	['5309']
jps	['2205']
jstel	['1064']
jt400	['3470']
jt400-ssl	['3471']
jtag-server	['1309']
jtnetd-server	['5033']
jtnetd-status	['5034']
jute	['5883']
juxml-port	['3642']
jvclient	['1940']
jvl-mactalk	['47100']
jvserver	['1939']
jwalkserver	['1289']
jwclient	['1938']
jwpc	['16020']
jwpc-bin	['16021']
jwserver	['1937']
k-block	['287']
k-patentssensor	['40023']
k3software-cli	['26263']
k3software-svr	['26262']
ka0wuc	['2822']
kali	['2213']
kana	['2656']
kar2ouche	['4661']
kastenchasepad	['2918']
kastenxpipe	['36865']
kazaa	['1214']
kca-service	['9878']
kdm	['2115']
kdnet	['5364']
kentrox-prot	['2502']
kerberos	['88']
kerberos-adm	['749']
kermit	['1649']
keyserver	['584']
keyshadow	['19315']
keysrvr	['19283']
kfserver	['5343']
kftp	['6621']
kftp-data	['6620']
kfxaclicensing	['3581']
kingdomsonline	['30260']
kingfisher	['4058']
kink	['910']
kiosk	['1061']
kis	['186']
kitim	['35354']
kjtsiteserver	['1339']
klio	['7697']
klogin	['543']
kme-trap-port	['2081']
kmip	['5696']
kmscontrol	['1773']
knet-cmp	['157']
kofax-svr	['2424']
konshus-lm	['2294']
konspire2b	['6085']
kopek-httphead	['27504']
kpasswd	['464']
kpdp	['5253']
kpn-icw	['3699']
krb5gatekeeper	['1318']
kryptolan	['398']
kshell	['544']
ksysguard	['3112']
ktelnet	['6623']
kti-icad-srvr	['6701']
ktickets-rest	['4331']
kv-agent	['3361']
kv-server	['3360']
kvm-via-ip	['1132']
kwdb-commn	['1127']
kwtc	['4566']
kyoceranetdev	['1063']
kz-migr	['8102']
l-acoustics	['4432']
l2c-data	['4372']
l3-exprt	['2840']
l3-hawk	['2842']
l3-hbmon	['2370']
l3-ranger	['2841']
l3t-at-an	['4591']
l5nas-parchan	['9747']
labrat	['2560']
laes-bf	['9536']
lam	['2040']
landmarks	['3969']
lanmessenger	['2372']
lanner-lm	['4547']
lanrevagent	['3970']
lanrevserver	['3971']
lanserver	['637']
lansource	['1485']
lansurveyor	['4347']
lansurveyorxml	['3815']
lanyon-lantern	['1682']
laplink	['1547']
launchbird-lm	['3739']
lavenir-lm	['3373']
lazy-ptop	['7099']
lbc-control	['2780']
lbc-measure	['2815']
lbc-sync	['2779']
lbc-watchdog	['2816']
lbf	['2466']
lbm	['2465']
lcm-server	['7365']
lcs-ap	['9082']
ldap	['389']
ldap-admin	['3407']
ldaps	['636']
ldgateway	['9592']
ldoms-mgmt	['6482']
ldoms-migr	['8101']
ldp	['646']
lds-distrib	['6543']
lds-dump	['6544']
ldss	['6087']
ldxp	['4042']
lecroy-vicp	['1861']
leecoposserver	['2212']
legent-1	['373']
legent-2	['374']
leoip	['1886']
lhtp	['1983']
liberty-lm	['1496']
licensedaemon	['1986']
light	['4670']
limnerpressure	['8191']
link	['245']
linkname	['1903']
linktest	['3746']
linktest-s	['3747']
linogridengine	['12300']
linx	['1361']
lionhead	['2611']
lipsinc	['1968']
lipsinc1	['1969']
lisp-data	['4341']
lispworks-orb	['3672']
listcrt-port	['3913']
listcrt-port-2	['3914']
listmgr-port	['3767']
livelan	['1555']
livestats	['2795']
ljk-login	['472']
lkcmserver	['3278']
llm-csv	['2814']
llm-pass	['2813']
llmnr	['5355']
llrp	['5084']
llsurfup-http	['1183']
llsurfup-https	['1184']
lm-dta	['8206']
lm-instmgr	['8205']
lm-mon	['31620']
lm-perfworks	['8204']
lm-sserver	['8207']
lm-webwatcher	['8208']
lm-x	['6200']
lmcs	['4877']
lmdp	['2623']
lmp	['701']
lms	['4056']
lmsocialserver	['1111']
lnvalarm	['2282']
lnvconsole	['2281']
lnvmailmon	['2285']
lnvmaps	['2284']
lnvpoller	['2280']
lnvstatus	['2283']
loaprobe	['1634']
localinfosrvr	['1487']
lockstep	['2125']
locus-con	['127']
locus-disc	['5058']
locus-map	['125']
lofr-lm	['1752']
logcabin	['5254']
lonewolf-lm	['6146']
lontalk-norm	['1628']
lontalk-urgnt	['1629']
lonworks	['2540']
lonworks2	['2541']
lorica-in	['4080']
lorica-in-sec	['4081']
lorica-out	['4082']
lorica-out-sec	['4083']
lot105-ds-upd	['2053']
lotusmtap	['3007']
lotusnote	['1352']
lpar2rrd	['8162']
lpcp	['1298']
lpdg	['10805']
lpsrecommender	['2620']
lrp	['2090']
lrs-paging	['3700']
ls3	['3069']
ls3bcast	['3068']
lsdp	['11430']
lsi-bobcat	['5574']
lsi-raid-mgmt	['2463']
lsp-ping	['3503']
lsp-self-ping	['8503']
lstp	['2559']
ltp	['4044']
ltp-deepspace	['1113']
lumimgrd	['4741']
lupa	['1212']
lutap	['4912']
lutcp	['4913']
lv-auth	['2147']
lv-ffx	['2144']
lv-frontpanel	['3079']
lv-jc	['2143']
lv-not	['2146']
lv-pici	['2145']
lvision-lm	['6471']
lxi-evntsvc	['5044']
lyskom	['4894']
m-wnn	['3732']
m2ap	['36443']
m2mservices	['8383']
m2pa	['3565']
m2ua	['2904']
m3ap	['36444']
m3ua	['2905']
m4-network-as	['4345']
mac-srvr-admin	['660']
macbak	['4181']
macromedia-fcs	['1935']
madcap	['2535']
madge-ltd	['2453']
magaya-network	['3691']
magbind	['3194']
magenta-logic	['313']
magiccontrol	['4902']
magicnotes	['3023']
magicom	['2243']
magpie	['5092']
mailbox-lm	['505']
mailprox	['3936']
mailq	['174']
maincontrol	['2516']
mainsoft-lm	['1593']
maitrd	['997']
manage-exec	['2342']
manet	['269']
manyone-http	['8910']
manyone-xml	['8911']
mao	['2908']
mapper-mapethd	['3985']
mapper-nodemgr	['3984']
mapper-ws-ethd	['3986']
mapx	['36700']
marathontp	['8384']
marcam-lm	['1444']
markem-dcp	['3836']
martalk	['7073']
masc	['2587']
masqdialer	['224']
matahari	['49000']
matip-type-a	['350']
matrix-vnet	['4360']
max	['6074']
maxim-asics	['3276']
maytagshuffle	['2591']
mbap	['502']
mbap-s	['802']
mbg-ctrl	['3569']
mbl-battd	['4153']
mbus	['47000']
mc-appserver	['8763']
mc-brk-srv	['3180']
mc-client	['1180']
mc-comm	['9632']
mc-gt-srv	['2180']
mc2studios	['1899']
mc3ss	['3521']
mcagent	['1820']
mccwebsvr-port	['3570']
mcer-port	['6510']
mcftp	['6622']
mcidas	['112']
mck-ivpip	['2698']
mcns-sec	['638']
mcns-tel-ret	['3311']
mcntp	['5418']
mcp	['4458']
mcp-port	['3558']
mcreport	['8003']
mcs-calypsoicf	['3330']
mcs-fastmail	['3302']
mcs-mailsvr	['3332']
mcs-messaging	['3331']
mctet-gateway	['3116']
mctet-jserv	['3117']
mctet-master	['3115']
mctfeed	['5598']
mctp	['1100']
md-cg-http	['2688']
mdap-port	['3235']
mdbs-daemon	['800']
mdc-portmapper	['685']
mdm	['7871']
mdns	['5353']
mdnsresponder	['5354']
mdtp	['3232']
mecomm	['668']
med-ci	['24005']
med-fsp-rx	['24001']
med-fsp-tx	['24002']
med-ltp	['24000']
med-net-svc	['24006']
med-ovw	['24004']
med-supp	['24003']
medevolve	['13930']
media-agent	['2789']
mediabox	['46999']
mediacntrlnfsd	['2363']
mediaspace	['3594']
mediat	['5157']
mediavault-gui	['3673']
medimageportal	['7720']
megaco-h248	['2944']
megardsvr-port	['3571']
megaregsvrport	['3572']
memcache	['11211']
menandmice-dns	['1337']
menandmice-lpm	['1231']
menandmice-mon	['4552']
menandmice-noh	['4151']
menandmice-upg	['4603']
mentaclient	['2117']
mentaserver	['2118']
mercantile	['3398']
mercury-disc	['9596']
meregister	['669']
mesavistaco	['1249']
messageasap	['6070']
messageservice	['2311']
meta-corp	['6141']
meta5	['393']
metaagent	['1897']
metaconsole	['2850']
metaedit-mu	['6360']
metaedit-se	['6370']
metaedit-ws	['6390']
metagram	['99']
metalbend	['7172']
metasage	['1207']
metastorm	['2511']
metasys	['11001']
metatude-mds	['6382']
meter	['570','571']
metricadbc	['2622']
metrics-pas	['1824']
mevent	['7900']
mfcobol	['86']
mfserver	['2266']
mftp	['349','5402']
mgcp-callagent	['2727']
mgcp-gateway	['2427']
mgcs-mfp-port	['6509']
mgemanagement	['4680']
mgesupervision	['4679']
mgxswitch	['3070']
miami-bcast	['6083']
mib-streaming	['2292']
mice	['5022']
micom-pfs	['490']
microcom-sbp	['1680']
micromuse-lm	['1534']
micromuse-ncps	['7979']
micromuse-ncpw	['9600']
microsan	['20001']
microsoft-ds	['445']
microtalon-com	['7014']
microtalon-dis	['7013']
midnight-tech	['3008']
mikey	['2269']
mil-2045-47001	['1581']
miles-apart	['2621']
mimer	['1360']
mindarray-ca	['9445']
mindfilesys	['7391']
mindprint	['8033']
minger	['4069']
mini-sql	['1114']
minilock	['3798']
minipay	['2105']
minivend	['7786']
minotaur-sa	['5136']
mipi-debug	['7606']
mipv6tls	['7872']
mira	['3454']
miroconnect	['1532']
mirrtex	['4310']
mit-dov	['91']
mit-ml-dev	['83','85']
miteksys-lm	['1482']
miva-mqs	['1277']
mkm-discovery	['3837']
ml-svnet	['4171']
mle	['19788']
mles	['8077']
mloadd	['1427']
mlsn	['32801']
mma-discovery	['4173']
mmacomm	['4667']
mmaeds	['4668']
mmcal	['2272']
mmcals	['2271']
mmcc	['5050']
mmpft	['1815']
mnet-discovery	['5237']
mngsuite	['9535']
mni-prot-rout	['3764']
mnp-exchange	['2197']
mns-mail	['2593']
mobile-file-dl	['2926']
mobile-p2p	['4688']
mobileanalyzer	['7869']
mobileip-agent	['434']
mobilip-mn	['435']
mobrien-chat	['2031']
moldflow-lm	['1576']
molly	['1374']
mon	['2583','9255']
mondex	['471']
monetra	['8665']
monetra-admin	['8666']
monitor	['561']
monkeycom	['9898']
monp	['3445']
montage-lm	['6147']
mortgageware	['367']
mosaicsyssvc1	['1235']
mosaixcc	['2561']
moshebeeri	['2627']
mountd	['20048']
movaz-ssc	['5252']
moy-corp	['2488']
mpc-lifenet	['1213']
mpfoncl	['2579']
mpfwsas	['2952']
mphlpdmc	['9344']
mpidcagt	['9397']
mpidcmgr	['9343']
mpl-gprs-port	['3924']
mpls-pm	['6634']
mpls-udp	['6635']
mpls-udp-dtls	['6636']
mpm	['45']
mpm-flags	['44']
mpm-snd	['46']
mpnjsc	['1952']
mpnjsocl	['2685']
mpnjsomb	['2681']
mpnjsomg	['2686']
mpnjsosv	['2684']
mpp	['218']
mppolicy-mgr	['5969']
mppolicy-v5	['5968']
mps-raft	['1700']
mpshrsv	['1261']
mpsserver	['6106']
mpsysrmsvr	['3358']
mptn	['397']
mqe-agent	['3958']
mqe-broker	['3957']
mqtt	['1883']
mrip	['4986']
mrm	['679']
mrssrendezvous	['7392']
ms-alerter	['5359']
ms-cluster-net	['3343']
ms-ilm	['5725']
ms-ilm-sts	['5726']
ms-la	['3535']
ms-licensing	['5720']
ms-olap1	['2393']
ms-olap2	['2394']
ms-olap3	['2382']
ms-olap4	['2383']
ms-rome	['569']
ms-rule-engine	['3132']
ms-s-sideshow	['5361']
ms-shuttle	['568']
ms-sideshow	['5360']
ms-smlbiz	['5356']
ms-sna-base	['1478']
ms-sna-server	['1477']
ms-sql-m	['1434']
ms-sql-s	['1433']
ms-streaming	['1755']
ms-theater	['2460']
ms-v-worlds	['2525']
ms-wbt-server	['3389']
msdfsr	['5722']
msdp	['639']
msdts1	['3882']
msexch-routing	['691']
msfrs	['4554']
msft-dpm-cert	['6076']
msft-gc	['3268']
msft-gc-ssl	['3269']
msfw-array	['2174']
msfw-control	['3847']
msfw-replica	['2173']
msfw-s-storage	['2172']
msfw-storage	['2171']
msg-auth	['31']
msg-icp	['29']
msgclnt	['8786']
msgsrvr	['8787']
msgsys	['9594']
mshvlm	['6600']
msi-selectplay	['2871']
msiccp	['1731']
msims	['1582']
msl-lmd	['1464']
msmq	['1801']
msnp	['1863']
msolap-ptp2	['2725']
msp	['18','2438']
msp-os	['4686']
msr-plugin-port	['3931']
msrp	['2855']
msss	['7742']
mstmg-sstp	['6601']
msync	['2072']
mt-scaleserver	['2305']
mtcevrunqman	['4558']
mtcevrunqss	['4557']
mti-tcs-comm	['2469']
mtl8000-matrix	['8115']
mtn	['4691']
mtp	['1911']
mtport-regist	['2791']
mtportmon	['7421']
mtqp	['1038']
mtrgtrans	['19398']
mtsserver	['4602']
multicast-ping	['9903']
multiling-http	['777']
multip-msg	['3733']
multiplex	['171']
mumps	['188']
munin	['4949']
mupdate	['3905']
murray	['1123']
murx	['2743']
muse	['6888']
musiconline	['1806']
must-backplane	['3515']
must-p2p	['3514']
mvel-lm	['1574']
mvs-capacity	['10007']
mvx-lm	['1510']
mxi	['8005']
mxit	['9119']
mxodbc-connect	['6632']
mxomss	['1141']
mxxrlogin	['1035']
myblast	['3795']
mylex-mapd	['467']
mylxamport	['2981']
mynahautostart	['2388']
myq-termlink	['11108']
myrtle	['1831']
mysql	['3306']
mysql-cluster	['1186']
mysql-cm-agent	['1862']
mysql-im	['2273']
mysql-proxy	['6446']
mysqlx	['33060']
mzap	['2106']
n1-fwp	['4446']
n1-rmgmt	['4447']
n2h2server	['9285']
n2nremote	['1685']
n2receive	['9286']
na-er-tip	['3725']
na-localise	['5062']
naap	['1340']
nacagent	['4407']
nacnl	['4361']
namemunge	['3950']
namp	['167']
nani	['2236']
nas	['991']
nas-metering	['2286']
nasmanager	['1960']
natdataservice	['3927']
nati-dstp	['3015']
nati-logos	['2343']
nati-svrloc	['3580']
nati-vi-server	['3363']
nattyserver	['3753']
natuslink	['2895']
nav-port	['3859']
navbuddy	['1288']
navegaweb-port	['3159']
navisphere	['2162']
navisphere-sec	['2163']
nbd	['10809']
nbdb	['13785']
nbt-pc	['5133']
nbt-wol	['6133']
nburn-id	['20034']
nbx-au	['2094']
nbx-cc	['2093']
nbx-dir	['2096']
nbx-ser	['2095']
ncacn-ip-tcp	['3062']
ncadg-ip-udp	['3063']
ncconfig	['1888']
ncdloadbalance	['2683']
ncdmirroring	['2706']
nced	['404']
ncl	['2397']
ncld	['405']
ncp	['524']
ncpm-ft	['1744']
ncpm-hip	['1683']
ncpm-pm	['1591']
ncr-ccl	['2528']
ncu-1	['3195']
ncu-2	['3196']
ncube-lm	['1521']
ncxcp	['5681']
ndl-aas	['3128']
ndl-ahp-svc	['6064']
ndl-als	['3431']
ndl-aps	['3096']
ndl-tcp-ois-gw	['2738']
ndm-agent-port	['43189']
ndm-requester	['1363']
ndm-server	['1364']
ndmp	['10000']
ndmps	['30000']
ndn	['6363']
ndnp	['2883']
nds-sso	['3024']
ndsauth	['353']
ndsconnect	['3890']
ndsp	['2881']
ndtp	['2882']
nec-raidplus	['2730']
neckar	['37475']
necp	['3262']
nei-management	['3886']
neo4j	['7474']
neod1	['1047']
neod2	['1048']
neoiface	['1285']
neon24x7	['3213']
nerv	['1222']
nesh-broker	['3507']
nessus	['1241']
nest-protocol	['489']
net-device	['4350']
net-projection	['5363']
net-steward	['2128']
net2display	['9086']
net8-cman	['1830']
netadmin	['2450']
netagent	['5771']
netangel	['2442']
netapp-icdata	['11105']
netapp-icmgmt	['11104']
netapp-sync	['10006']
netarx	['1040']
netaspi	['2902']
netattachsdmp	['3066']
netbill-auth	['1615']
netbill-cred	['1614']
netbill-keyrep	['1613']
netbill-prod	['1616']
netbill-trans	['1612']
netbios-dgm	['138']
netbios-ns	['137']
netbios-ssn	['139']
netblox	['4441']
netbookmark	['3131']
netboot-pxe	['3928']
netcabinet-com	['4409']
netcelera	['3701']
netchat	['2451']
netcheque	['4008']
netclip	['2971']
netconf-beep	['831']
netconf-ch-ssh	['4334']
netconf-ch-tls	['4335']
netconf-ssh	['830']
netconf-tls	['6513']
netconfsoapbeep	['833']
netconfsoaphttp	['832']
netcp	['395']
netdb-export	['1329']
neteh	['3828']
neteh-ext	['3829']
netgw	['741']
netinfo-local	['1033']
netiq	['2220']
netiq-endpoint	['10113']
netiq-endpt	['10115']
netiq-mc	['2735']
netiq-ncap	['2219']
netiq-qcheck	['10114']
netiq-voipa	['10116']
netlabs-lm	['1406']
netmagic	['1196']
netmap-lm	['1493']
netml	['2288']
netmo-default	['6841']
netmo-http	['6842']
netmon	['2606']
netmount	['2061']
netmpi	['3827']
netnews	['532']
neto-dcs	['3814']
neto-wol-server	['3812']
netobjects1	['2485']
netobjects2	['2486']
netop-rc	['1970']
netop-school	['1971']
netopia-vo1	['1839']
netopia-vo2	['1840']
netopia-vo3	['1841']
netopia-vo4	['1842']
netopia-vo5	['1843']
netops-broker	['5465']
netperf	['12865']
netplan	['2983']
netplay-port1	['3640']
netplay-port2	['3641']
netport-id	['3129']
netrcs	['742']
netrek	['2592']
netrisk	['1799']
netrix-sftm	['2328']
netrjs-1	['71']
netrjs-2	['72']
netrjs-3	['73']
netrjs-4	['74']
netrockey6	['4425']
netsc-dev	['155']
netsc-prod	['154']
netscript	['4118']
netserialext1	['16360']
netserialext2	['16361']
netserialext3	['16367']
netserialext4	['16368']
netspeak-acd	['21848']
netspeak-cps	['21849']
netspeak-cs	['21847']
netspeak-is	['21846']
netsteward	['2810']
netsupport	['5405']
netsupport2	['5421']
nettest	['4138']
nettgain-nms	['1879']
netuitive	['1286']
netview-aix-1	['1661']
netview-aix-10	['1670']
netview-aix-11	['1671']
netview-aix-12	['1672']
netview-aix-2	['1662']
netview-aix-3	['1663']
netview-aix-4	['1664']
netview-aix-5	['1665']
netview-aix-6	['1666']
netview-aix-7	['1667']
netview-aix-8	['1668']
netview-aix-9	['1669']
netviewdm1	['729']
netviewdm2	['730']
netviewdm3	['731']
netwall	['533']
netware-csp	['1366']
netware-ip	['396']
netwatcher-db	['3204']
netwatcher-mon	['3203']
netwave-ap-mgmt	['2411']
netwkpathengine	['3209']
networklens	['3409']
networklenss	['3410']
netx-agent	['2586']
netx-server	['2585']
netxms-agent	['4700']
netxms-mgmt	['4701']
netxms-sync	['4702']
neveroffline	['2614']
new-rwho	['550']
newbay-snc-mc	['16900']
newgenpay	['3165']
newheights	['2114']
newlixconfig	['2076']
newlixengine	['2075']
newlixreg	['2671']
newoak	['4001']
newwavesearch	['2058']
nexentamv	['8457']
nexgen	['6627']
nexgen-aux	['6629']
nexstorindltd	['2360']
nextstep	['178']
nexus-portal	['4021']
nfa	['1155']
nfapi	['7701']
nfoldman	['7393']
nfsrdma	['20049']
ng-control	['38412']
ng-umds	['1690']
ngr-t	['1528']
nhci	['3842']
nhserver	['2672']
ni-visa-remote	['3537']
nicelink	['1095']
nicetec-mgmt	['2557']
nicetec-nmsvc	['2556']
nicname	['43']
nifty-hmi	['4134']
nilinkanalyst	['25902']
nim	['1058']
nim-vdrshell	['6420']
nim-wan	['6421']
nimaux	['3902']
nimbusdb	['48004']
nimbusdbctrl	['48005']
nimcontroller	['48000']
nimgtw	['48003']
nimhub	['48002']
nimreg	['1059']
nimrod-agent	['1617']
nimsh	['3901']
nimspooler	['48001']
ninaf	['5627']
niobserver	['25901']
nip	['376']
niprobe	['25903']
nirp	['4043']
nitrogen	['7725']
njenet-ssl	['2252']
nkd	['1650']
nlg-data	['5299']
nlogin	['758']
nls-tl	['7549']
nm-asses-admin	['3150']
nm-assessor	['3151']
nm-game-admin	['3148']
nm-game-server	['3149']
nmap	['689']
nmasoverip	['1242']
nmc-disc	['10810']
nmea-0183	['10110']
nmea-onenet	['10111']
nmmp	['3649']
nms	['1429']
nms-dpnss	['2503']
nms-topo-serv	['1486']
nmsd	['1239']
nmsigport	['2817','2839']
nmsp	['537','1790']
nmsserver	['2244']
nnp	['3780']
nnsp	['433']
nntp	['119']
nntps	['563']
noaaport	['2210']
noadmin	['1921']
noagent	['1917']
nod-client	['8981']
nod-provider	['8980']
noit-transport	['43191']
nokia-ann-ch1	['3405']
nokia-ann-ch2	['3406']
nomad	['5209']
nomdb	['13786']
norton-lambert	['2338']
noteit	['4663']
noteshare	['8474']
noteza	['5215']
notezilla-lan	['21010']
notify-srvr	['3016']
novar-alarm	['23401']
novar-dbase	['23400']
novar-global	['23402']
novastorbakcup	['308']
novation	['1322']
novell-ipx-cmd	['2645']
novell-lu6-2	['1416']
novell-zen	['2544']
nowcontact	['3167']
npdbgmngr	['2293']
npds-tracker	['3680']
npep-messaging	['2868']
npmp	['8450']
npmp-gui	['611']
npmp-local	['610']
npmp-trap	['609']
npp	['92','4045']
nppmp	['3476']
npqes-test	['4703']
npsp	['4088']
nq-ap	['36424']
nqs	['607']
nrcabq-lm	['1458']
nrpe	['5666']
ns	['760']
ns-cfg-server	['3266']
ns-server	['5415']
nsc-ccs	['2604']
nsc-posa	['2605']
nsdeepfreezectl	['7724']
nsesrvr	['9988']
nsiiops	['261']
nsjtp-ctrl	['1687']
nsjtp-data	['1688']
nsp	['5012']
nsrmp	['359']
nsrp	['7170']
nss	['4159']
nss-routing	['159']
nssagentmgr	['4454']
nssalertmgr	['4453']
nssocketport	['3522']
nsstp	['1036']
nst	['4687']
nsw-fe	['27']
nsws	['3049']
nta-ds	['7544']
nta-us	['7545']
ntalk	['518']
ntp	['123']
ntz-p2p-storage	['6778']
ntz-tracker	['6777']
nuauth	['4129']
nucleus	['1463']
nucleus-sand	['1201']
nufw	['4128']
nupaper-ss	['12121']
nut	['3493']
nuts-bootp	['4133']
nuts-dem	['4132']
nuxsl	['5991']
nvc	['8711']
nvcnet	['3999']
nvd	['2184','2329']
nvm-express	['4420']
nw-license	['3697']
nxedit	['126']
nxlmd	['28000']
o2server-port	['1894']
oa-system	['8022']
obex	['650']
objcall	['94']
objective-dbc	['1388']
objectmanager	['2038']
obrpd	['1092']
observium-agent	['36602']
oc-lm	['1448']
ocbinder	['183']
oce-snmp-trap	['2697']
oceansoft-lm	['1466']
ocs-amu	['429']
ocs-cmu	['428']
ocserver	['184']
octopus	['10008']
octopustentacle	['10933']
odbcpathway	['9628']
odette-ftp	['3305']
odette-ftps	['6619']
odeumservlink	['3523']
odi-port	['3187']
odmr	['366']
odn-castraq	['2498']
odnsp	['9966']
odsi	['1308']
oem-agent	['3872']
oemcacao-jmxmp	['11172']
oemcacao-rmi	['11174']
oemcacao-websvc	['11175']
office-tools	['7789']
officelink2000	['3320']
ofsd	['2322']
ogs-client	['9007']
ogs-server	['9008']
ohimsrv	['506']
ohmtrigger	['4732']
ohsc	['18186']
oi-2000	['2364']
oidocsvc	['4142']
oidsr	['4143']
oirtgsvc	['4141']
olhost	['2661']
olsr	['698']
olsv	['1160']
oma-dcdocbs	['7278']
oma-ilp	['7276']
oma-ilp-s	['7277']
oma-mlp	['9210']
oma-mlp-s	['9211']
oma-rlp	['7273']
oma-rlp-s	['7274']
oma-ulp	['7275']
omabcastltkm	['4359']
omasgport	['4090']
omginitialrefs	['900']
omhs	['5723']
omnilink-port	['3904']
omnisky	['2056']
omnivision	['1135']
omnivisionesx	['4395']
oms	['4662']
oms-nonsecure	['5102']
omscontact	['4161']
omsdk	['5724']
omserv	['764']
omstopology	['4162']
omviagent	['4429']
omviserver	['4428']
onbase-dds	['2185']
onehome-help	['2199']
onehome-remote	['2198']
onep-tls	['15002']
onesaf	['3244']
onmux	['417']
onpsocket	['5014']
onscreen	['5080']
ontime	['1622']
ontobroker	['2267']
op-probe	['7030']
opalis-rbt-ipc	['5314']
opalis-rdv	['536']
opalis-robot	['314']
opc-job-start	['423']
opc-job-track	['424']
opcon-xps	['3100']
opcua-tls	['4843']
opencm	['3434']
opencore	['4089']
opendeploy	['20014']
openflow	['6653']
openhpid	['4743']
openit	['7478']
openmail	['5729']
openmailg	['5755']
openmailns	['5766']
openmailpxy	['5768']
openmath	['1473']
opennl	['1258']
opennl-voice	['1259']
openport	['260']
openqueue	['8764']
openremote-ctrl	['8688']
openstack-id	['35357']
opentable	['2368']
opentrac	['3855']
openvms-sysipc	['557']
openvpn	['1194']
openwebnet	['20005']
opequus-server	['2400']
opi-sock	['7429']
opnet-smp	['3433']
opsec-cvp	['18181']
opsec-ela	['18187']
opsec-lea	['18184']
opsec-omi	['18185']
opsec-sam	['18183']
opsec-uaa	['19191']
opsec-ufp	['18182']
opsession-clnt	['3303']
opsession-prxy	['3307']
opsession-srvr	['3304']
opsmessaging	['8090']
opsmgr	['1270']
opsview-envoy	['4125']
opswagent	['3976']
opswmanager	['3977']
optech-port1-lm	['2237']
optika-emedia	['1829']
optilogic	['2435']
optima-vnet	['1051']
optiwave-lm	['2524']
optocontrol	['22001']
optohost002	['22002']
optohost003	['22003']
optohost004	['22004','22005']
opus-services	['3718']
ora-lm	['1446']
ora-oap	['5575']
oracle-em1	['1748']
oracle-em2	['1754']
oracle-ms-ens	['8997']
oracle-oms	['1159']
oracle-vp1	['1809']
oracle-vp2	['1808']
oracleas-https	['7443']
oraclenames	['1575']
oraclenet8cman	['1630']
orbiter	['2398']
orbix-cfg-ssl	['3078']
orbix-config	['3076']
orbix-loc-ssl	['3077']
orbix-locator	['3075']
orbixd	['1570']
orbplus-iiop	['1597']
ordinox-dbase	['3355']
ordinox-server	['3274']
origo-native	['3001']
origo-sync	['11103']
orion	['2407']
orion-rmi-reg	['2413']
ortec-disc	['40853']
os-licman	['1384']
osaut	['6679']
osb-sd	['400']
osdcp	['3432']
osm-appsrvr	['9990']
osm-oev	['9991']
osmosis-aeea	['3034']
osp	['5045']
ospf-lite	['8899']
osu-nms	['192']
osvr	['7728']
otlp	['6951']
otmp	['29167']
otp	['9390']
otpatch	['2936']
ott	['2428']
ottp	['2951']
otv	['8472']
outlaws	['5310']
ov-nnm-websrv	['3443']
ovalarmsrv	['2953']
